code;name;artista;musica;letra
01634;01634.mp4;Marisa Monte;Tema De Amor;Eu Conheço Todo Jeito
01635;01635.mp4;Caetano Veloso;Terra;Quando Eu Me Encontrava Preso
01636;01636.mp4;Os Originais Do Samba;Testamento De Partideiro;Pra Minha Mulher Deixo Amor Sentiment
01637;01637.mp4;Capital Inicial;Um Homem Só;As Lágrimas Secam E Eu Esqueço
01638;01638.mp4;Flavio Venturini;Um Novo Amor;O Meu Coração É Como Um Barco À Deri
01639;01639.mp4;Célia;Vidas Inteiras;Não Seja Por Isso
01640;01640.mp4;Nenhum De Nós;Você Vai Lembrar De Mim;Quando Eu Te Vejo Espero Teu Beijo
01641;01641.mp4;Benito Di Paula E Demônios Da Garoa;A Vida É Dura;Quais Quais Quali Cos Quais
01642;01642.mp4;Ivete Sangalo;Acelera Aê;Nesse Lance Bom Nesse Ritmo
01643;01643.mp4;Luan Santana;Adrenalina;Meu Coração Tá Disparado Meu Corpo Tá
01644;01644.mp4;Biquini Cavadão;Agora É Moda;Agora É Moda
01645;01645.mp4;Jorge E Mateus;Aí Já Era;Para Pra Pensar Porque Eu Já Me Toquei
01646;01646.mp4;Cine;As Cores;O Vento Bate A Porta E Não Me Engana
01647;01647.mp4;Capital Inicial;Autoridades;Vou Denunciar
